"bullet","land","x","value","id","raw_sig","se","sig"
"Bullet 2","Land 2",1936.29,29.0876048888889,11,-1.54781854646913,0.069021618033012,-1.14987367101598
"Bullet 2","Land 2",1936.935,29.0013738888889,11,-1.51118610779798,0.0691760473867285,-1.15671469722702
"Bullet 2","Land 2",1937.58,28.9273111111111,11,-1.46229269918265,0.0693311327878125,-1.1639444369572
"Bullet 2","Land 2",1938.225,28.8300397777778,11,-1.43651509170213,0.0694868736267315,-1.1717074412066
"Bullet 2","Land 2",1938.87,28.7087153333333,11,-1.43469783421313,0.069643269284866,-1.18014826097531
"Bullet 2","Land 2",1939.515,28.6152053333333,11,-1.40497336446122,0.0698003191346483,-1.18797283586355
"Bullet 2","Land 2",1940.16,28.5884616666667,11,-1.3083897868587,0.0699580225397008,-1.19406484107591
"Bullet 2","Land 2",1940.805,28.6116618888889,11,-1.16176953915118,0.0701163788549743,-1.19883543101899
"Bullet 2","Land 2",1941.45,28.6341736666667,11,-1.01574494797314,0.0702753874268842,-1.20269576009939
"Bullet 2","Land 2",1942.095,28.5952985555556,11,-0.931014451070208,0.0704350475934478,-1.20605698272374
"Bullet 2","Land 2",1942.74,28.4462686666667,11,-0.956345930632438,0.0705953586844195,-1.20933025329864
"Bullet 2","Land 2",1943.385,28.2254984444444,11,-1.05332493551651,0.0707563200214258,-1.21292672623069
"Bullet 2","Land 2",1944.03,28.0232481111111,11,-1.13169123680142,0.0709179309180999,-1.21725755592652
"Bullet 2","Land 2",1944.675,27.8589262222222,11,-1.17203627223273,0.0710801906802151,-1.22273389679271
"Bullet 2","Land 2",1945.32,27.7222577777778,11,-1.1846350351116,0.0712430986058174,-1.2297669032359
"Bullet 2","Land 2",1945.965,27.6104751111111,11,-1.17225518540592,0.0714066539853574,-1.23876772966268
"Bullet 2","Land 2",1946.61,27.5112674444444,11,-1.14720749419459,0.0715708561018217,-1.24882817026587
"Bullet 2","Land 2",1947.255,27.417832,11,-1.11629473255656,0.0717357042308634,-1.25881820447341
"Bullet 2","Land 2",1947.9,27.3618924444444,11,-1.04779322712633,0.0719011976409311,-1.26881626454459
"Bullet 2","Land 2",1948.545,27.3715851111111,11,-0.913566637871714,0.0720673355933981,-1.2789007827387
"Bullet 2","Land 2",1949.19,27.4194232222222,11,-0.741101735871677,0.07223411734269,-1.28915019131505
"Bullet 2","Land 2",1949.835,27.3817475555556,11,-0.65405773664958,0.0724015421364115,-1.29964292253291
"Bullet 2","Land 2",1950.48,27.0317014444444,11,-0.879291300173271,0.0725696092154729,-1.31045740865159
"Bullet 2","Land 2",1951.125,26.4214592222222,11,-1.36462808641057,0.0727383178142149,-1.32167208193038
"Bullet 2","Land 2",1951.77,25.978673,11,-1.68241597755155,0.0729076671605331,-1.33336537462857
"Bullet 2","Land 2",1952.415,25.7604205555556,11,-1.77557718911956,0.0730776564760014,-1.34561571900546
"Bullet 2","Land 2",1953.06,25.6589133333333,11,-1.75190026997135,0.0732482849759942,-1.35850154732033
"Bullet 2","Land 2",1953.705,25.5866994444444,11,-1.69883710229692,0.0734195518698084,-1.37384605220309
"Bullet 2","Land 2",1954.35,25.4961587777778,11,-1.66400779050863,0.0735914563607834,-1.39285024476376
"Bullet 2","Land 2",1954.995,25.3762924444444,11,-1.65841121679649,0.073763997646421,-1.4146592849818
"Bullet 2","Land 2",1955.64,25.2580046666667,11,-1.65114315223945,0.0739371749185043,-1.43841833283671
"Bullet 2","Land 2",1956.285,25.1850007777778,11,-1.59849825680532,0.0741109873632148,-1.46327254830795
"Bullet 2","Land 2",1956.93,25.1558285555556,11,-1.5019287460175,0.0742854341612499,-1.488367091375
"Bullet 2","Land 2",1957.575,25.1074486666667,11,-1.4244739465105,0.0744605144879378,-1.51284712201733
"Bullet 2","Land 2",1958.22,24.9723863333333,11,-1.43360862936323,0.0746362275133531,-1.53585780021442
"Bullet 2","Land 2",1958.865,24.7992746666667,11,-1.48069967676577,0.0748125724024296,-1.55654428594575
"Bullet 2","Land 2",1959.51,24.6672716666667,11,-1.48658908201926,0.0749895483150738,-1.57405173919079
"Bullet 2","Land 2",1960.155,24.5598922222222,11,-1.467761949536,0.0751671544062767,-1.59172298951698
"Bullet 2","Land 2",1960.8,24.4408608888889,11,-1.46049371706158,0.0753453898262236,-1.61283461660148
"Bullet 2","Land 2",1961.445,24.2991983333333,11,-1.47576371123046,0.0755242537204049,-1.63643240558832
"Bullet 2","Land 2",1962.09,24.127715,11,-1.52076148089945,0.0757037452297241,-1.66156214162153
"Bullet 2","Land 2",1962.735,23.9075196666667,11,-1.61437824159189,0.0758838634906058,-1.68726960984515
